,names,prices
0,Dr.Althea 345 Relief Cream: Soothing & Barrier Repair Cream ,2499
1,Bioderma Niacinamide Moisturizer - Atoderm Creme Ultra-Boost,699
2,"Lakmé Peach Creme Moisturiser, Ceramide & Peptide, Skin Barr",780
3,Forest Essentials Hydrating Facial Moisturiser with SPF 30 P,1695
4,Dot & Key Vitamin C + E Super Bright Face Moisturizer For Gl,495
5,"La Roche-Posay Cicaplast Baume B5+ Repair Moisturizer Balm, ",550
6,Foxtale Nourishing Ceramide Moisturiser for 100hrs of Hydrat,395
7,Mamaearth Rice Oil-Free Face Moisturizer With Rice Water & N,319
8,Murad Essential-C Firming Radiance Day Cream,9050
9,Cetaphil Moisturising Cream,669
10,Dot & Key Hyaluronic + Ceramide Barrier Repair Hydrating Fac,395
11,Clinique Moisture Surge 100h Auto-replenishing Hydrator (Moi,1200
12,CeraVe Moisturizer Cream For Dry Skin With Ceramides & Hyalu,430
13,Ponds Super Light Gel Oil Free Moisturiser With Hyaluronic A,830
14,Cetaphil Moisturising Lotion For Dry To Normal Sensitive Ski,620
15,Neutrogena Hydro Boost Hyaluronic Acid Water Gel Light Face ,1190
16,Embryolisse Lait-Creme Concentre,1525
17,NIVEA Soft Vit E Light Non Sticky Face Moisturiser Cream Fre,400
18,Plum 2% Niacinamide & Rice Water Moisturiser - Lightweight G,525
19,Lakme Absolute Perfect Radiance Skin Brightening Day Creme,415
